embodiment,task,n_rows
aria,bag_groceries,144
aria,bag_groceries_in_domain,21
aria,bag_groceries_success,24
aria,cup_on_saucer,554
aria,cup_on_saucer_in_domain,20
aria,cup_on_saucer_static_cam,24
aria,cup_on_saucer_success,25
aria,debug,2
aria,fold_clothes,711
aria,fold_clothes_indomain,40
aria,fold_clothes_success,21
aria,object_in_container,125
aria,object_in_container_indomain,32
aria,pick_place,135
aria,put cup on saucer indomain,36
aria,scoop_granular,132
aria,scoop_granular_in_domain,23
aria,scoop_granular_indomain,31
aria,sort utensils,18
aria,sort_utensils,316
eva,bag_groceries,299
eva,bag_groceries_failure,5
eva,bag_groceries_success,300
eva,cup_on_saucer,710
eva,cup_on_saucer_failure,109
eva,cup_on_saucer_failure_1,56
eva,cup_on_saucer_success,360
eva,cup_on_saucer_success_1,363
eva,fold_clothes,363
eva,fold_clothes_success_1,300
eva,fold_shorts,4
eva,object_in_container,100
eva,pick_place,247
eva,sort utensils,1
eva,test_data,1
mecka,,6
mecka,accessorizing,2
mecka,accessorizing_bouquets,5
mecka,accessorizing_gifts,2
mecka,adding_and_mixing_ingredients,2
mecka,adding_and_shaping_soil,1
mecka,adding_aquarium_substrate,2
mecka,adding_cream_to_crepes,1
mecka,adding_decorations,1
mecka,adding_decorative_flowers,1
mecka,adding_eggs,1
mecka,adding_essential_oils,1
mecka,adding_fragrance_oils,1
mecka,adding_gravel,1
mecka,adding_ingredient_to_pot,1
mecka,adding_ingredients,1
mecka,adding_ingredients_to_bowl,1
mecka,adding_liquid,1
mecka,adding_liquid_ingredients,1
mecka,adding_liquids,1
mecka,adding_perfume_drops,1
mecka,adding_perfume_fixative,1
mecka,adding_powder_to_bowl,1
mecka,adding_powdered_ingredients,1
mecka,adding_ribbons,3
mecka,adding_ribbons_to_cylinders,6
mecka,adding_rice_filling,1
mecka,adding_rice_husks_to_bags,4
mecka,adding_rice_husks_to_containers,37
mecka,adding_rice_husks_to_cups,4
mecka,adding_rice_husks_to_plants,2
mecka,adding_rice_husks_to_pots,25
mecka,adding_scent_concentrates,1
mecka,adding_snacks,1
mecka,adding_soil,4
mecka,adding_soil_to_bags,20
mecka,adding_soil_to_containers,11
mecka,adding_soil_to_cups,1
mecka,adding_soil_to_plant_roots,9
mecka,adding_soil_to_pots,13
mecka,adding_spices,1
mecka,adding_substrate,2
mecka,adding_sugar,1
mecka,adding_toppings,2
